102,0,1,0,0,0.1,0,4.5,4.5,,yes,hcp,no,no,no,,no,no
103,0.2,0.8,0.25,0,0.1,0,4.5,4.5,,yes,FCC,yes,yes,no ,,no,no
104,0.4,0.6,0.6667,0,0.1,0,4.5,4.5,,yes,FCC,yes,yes,no,,0.459770115,2.175
105,0.6,0.4,1.5,0,0.1,0,4.5,4.5,,yes,FCC,yes,yes,no,,0.48828125,2.048
106,0.8,0.2,4,0,0.1,0,4.5,4.5,,yes,FCC,yes,yes,no,,0.547945205,1.825
107,1,0,none,0,0.1,0,4.5,4.5,,no,no,no,no,no,,no,no
108,0.3,0.7,0.4286,0.1,0,none,3,3,,yes,FCC,yes,yes,yes,,0.240731825,4.154
109,0.3,0.7,0.4286,0.08,0.02,4,3,3,,yes,FCC,yes,yes,yes,,0.331785003,3.014
110,0.3,0.7,0.4286,0.06,0.04,1.5,3,3,,yes,FCC,yes,no,no,,no,no
111,0.3,0.7,0.4286,0.04,0.06,0.6667,3,3,,yes,FCC,yes,no,yes,,no,no
112,0.3,0.7,0.4286,0.02,0.08,0.25,3,3,,yes,FCC,yes,no,yes,,no,no
113,0.3,0.7,0.4286,0,0.1,0,3,3,,no,no,no,no,no,,no,no
114,0.7,0.3,2.3333,0.1,0,none,3,3,,yes,FCC,yes,yes,yes,,0.347222222,2.88
115,0.7,0.3,2.3333,0.08,0.02,4,3,3,,yes,FCC,yes,yes,yes,,0.370055138,2.7023
116,0.7,0.3,2.3333,0.06,0.04,1.5,3,3,,yes,FCC,yes,yes,yes,,0.337837838,2.96
117,0.7,0.3,2.3333,0.04,0.06,0.6667,3,3,,yes,FCC,yes,yes,yes,,0.475963827,2.101
118,0.7,0.3,2.3333,0.02,0.08,0.25,3,3,,yes,FCC,yes,yes,yes,,0.533333333,1.875
119,0.7,0.3,2.3333,0,0.1,0,3,3,,yes,FCC,yes,yes,yes,,0.53561864,1.867
120,0.3,0.7,0.4286,0.1,0,none,1.5,1.5,,no,no,no,no,no,,no,no
121,0.3,0.7,0.4286,0.08,0.02,4,1.5,1.5,,no,no,no,no,no,,no,no
122,0.3,0.7,0.4286,0.06,0.04,1.5,1.5,1.5,,no,no,no,no,no,,no,no
123,0.3,0.7,0.4286,0.04,0.06,0.6667,1.5,1.5,,no,no,no,no,no,,no,no
124,0.3,0.7,0.4286,0.02,0.08,0.25,1.5,1.5,,no,no,no,no,no,,no,no
125,0.3,0.7,0.4286,0,0.1,0,1.5,1.5,,no,no,no,no,no,,no,no
126,0.7,0.3,2.3333,0.1,0,none,1.5,1.5,,yes,FCC,yes,yes,yes,,0.328731098,3.042
127,0.7,0.3,2.3333,0.08,0.02,4,1.5,1.5,,yes,FCC,yes,yes,yes,,0.424899086,2.3535
128,0.7,0.3,2.3333,0.06,0.04,1.5,1.5,1.5,,yes,FCC,yes,yes,yes,,0.442869796,2.258
129,0.7,0.3,2.3333,0.04,0.06,0.6667,1.5,1.5,,yes,FCC,yes,yes,yes,,0.46253469,2.162
130,0.7,0.3,2.3333,0.02,0.08,0.25,1.5,1.5,,yes,FCC,yes,yes,yes,,0.505050505,1.98
131,0.7,0.3,2.3333,0,0.1,0,1.5,1.5,,yes,FCC,yes,yes,yes,,0.751879699,1.33
